Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 0 took 42.359128952, cost = 0.0626047700644, error = 0.798250771718
Epoch 368 took 41.9936819077, cost = 0.0230125039816, error = 0.215860649713
Epoch 369 took 42.0137441158, cost = 0.0226002521813, error = 0.211671321476
Epoch 370 took 42.0106060505, cost = 0.0224761515856, error = 0.211671321476
Epoch 371 took 42.0229179859, cost = 0.0221341960132, error = 0.210421872703
Epoch 372 took 42.0209109783, cost = 0.0224908553064, error = 0.215419667794
Epoch 373 took 42.0107028484, cost = 0.0226421840489, error = 0.214978685874
Epoch 374 took 42.0348320007, cost = 0.0235349237919, error = 0.225488754961
Epoch 375 took 42.0164999962, cost = 0.0228136852384, error = 0.220490959871
Epoch 376 took 41.9653680325, cost = 0.0220110714436, error = 0.211818315449
Epoch 377 took 41.9658019543, cost = 0.0232375599444, error = 0.219021020138
Epoch 378 took 42.0179550648, cost = 0.0264876987785, error = 0.253858591798
Epoch 379 took 42.0143620968, cost = 0.0235432107002, error = 0.233426429516
Epoch 380 took 42.0132489204, cost = 0.0236881840974, error = 0.226958694694
Epoch 381 took 42.0247461796, cost = 0.0229566954076, error = 0.22659120976
Epoch 382 took 42.0329470634, cost = 0.0226001888514, error = 0.225562251948
Epoch 383 took 42.0150449276, cost = 0.0227624289691, error = 0.228869616346
Epoch 384 took 42.0204739571, cost = 0.0235503409058, error = 0.231295016904
Epoch 385 took 41.9891951084, cost = 0.0226900745183, error = 0.218506541232
Epoch 386 took 41.9347150326, cost = 0.0220211297274, error = 0.216081140673
Epoch 387 took 42.0088028908, cost = 0.0219977609813, error = 0.214684697927
Epoch 388 took 42.0216591358, cost = 0.0224638450891, error = 0.214243716008
Epoch 389 took 42.0029220581, cost = 0.0225988849998, error = 0.21571365574
Epoch 390 took 42.0259401798, cost = 0.0223812628537, error = 0.215125679847
Epoch 391 took 42.0255131721, cost = 0.0221449434757, error = 0.215199176834
Epoch 392 took 42.0196490288, cost = 0.022522168234, error = 0.216228134646
Epoch 393 took 42.0210120678, cost = 0.0227761287242, error = 0.216669116566
Epoch 394 took 42.0276348591, cost = 0.0226203724742, error = 0.213214758195
Epoch 395 took 42.0125050545, cost = 0.0227611567825, error = 0.216301631633
Epoch 396 took 42.0127458572, cost = 0.0224142353982, error = 0.213435249155
Epoch 397 took 42.029031992, cost = 0.0228446330875, error = 0.213655740115
Epoch 398 took 42.0231649876, cost = 0.0230145361274, error = 0.216816110539
Epoch 399 took 41.9976899624, cost = 0.0228055622429, error = 0.214537703954
Epoch 400 took 41.9320590496, cost = 0.0224241353571, error = 0.212626782302
Epoch 401 took 41.9056229591, cost = 0.0227042343467, error = 0.216522122593
Epoch 402 took 41.9205420017, cost = 0.0229065716267, error = 0.216816110539
Epoch 403 took 41.995141983, cost = 0.0227608755231, error = 0.214831691901
Epoch 404 took 42.0082149506, cost = 0.0232081953436, error = 0.220784947817
Epoch 405 took 42.0196809769, cost = 0.0231689792126, error = 0.218506541232
Epoch 406 took 42.0099179745, cost = 0.0231815874577, error = 0.216522122593
Epoch 407 took 42.0127999783, cost = 0.0224882718176, error = 0.212847273262
Epoch 408 took 41.9999220371, cost = 0.0228641070426, error = 0.214096722034
Epoch 409 took 41.9763801098, cost = 0.022950546816, error = 0.215566661767
Epoch 410 took 42.0355658531, cost = 0.0226809885353, error = 0.213949728061
Epoch 411 took 42.021543026, cost = 0.0230539552867, error = 0.215860649713
Epoch 412 took 42.0077750683, cost = 0.0226727258414, error = 0.212332794355
Epoch 413 took 41.9466950893, cost = 0.0227335821837, error = 0.213067764222
Epoch 414 took 41.9281709194, cost = 0.0231670029461, error = 0.215860649713
Epoch 415 took 41.9140191078, cost = 0.0228151418269, error = 0.212406291342
Epoch 416 took 41.9393019676, cost = 0.0227003544569, error = 0.213802734088
Epoch 417 took 41.9244971275, cost = 0.0231360215694, error = 0.217551080406
Epoch 418 took 41.9302680492, cost = 0.0228054542094, error = 0.213288255182
Epoch 419 took 41.8983459473, cost = 0.0229689795524, error = 0.214684697927
Epoch 420 took 41.900842905, cost = 0.0232925172895, error = 0.21659561958
Epoch 421 took 41.9250319004, cost = 0.0229615289718, error = 0.211303836543
Epoch 422 took 41.9470398426, cost = 0.0226612463593, error = 0.209098926944
Epoch 423 took 41.9278469086, cost = 0.0228241235018, error = 0.214170219021
Epoch 424 took 42.0043749809, cost = 0.0234176572412, error = 0.217845068352
Epoch 425 took 42.0069651604, cost = 0.023244837299, error = 0.21659561958
Epoch 426 took 42.0314040184, cost = 0.0231874007732, error = 0.215640158753
Epoch 427 took 42.033962965, cost = 0.0228599719703, error = 0.214464206968
Epoch 428 took 42.0034029484, cost = 0.0227934923023, error = 0.214537703954
Epoch 429 took 41.9968938828, cost = 0.0232164114714, error = 0.217477583419
Epoch 430 took 42.0247719288, cost = 0.0232701003551, error = 0.216742613553
Epoch 431 took 42.0117750168, cost = 0.0233981963247, error = 0.218727032192
Epoch 432 took 42.0131778717, cost = 0.0232793819159, error = 0.215346170807
Epoch 433 took 42.0111660957, cost = 0.023215116933, error = 0.214611200941
Epoch 434 took 42.024531126, cost = 0.0233387202024, error = 0.215052182861
Epoch 435 took 42.0064311028, cost = 0.0235959477723, error = 0.217771571366
Epoch 436 took 42.0086021423, cost = 0.0233467835933, error = 0.215199176834
Epoch 437 took 42.0087099075, cost = 0.0235338583589, error = 0.217330589446
Epoch 438 took 42.0218260288, cost = 0.0235089175403, error = 0.217918565339
Epoch 439 took 42.0172600746, cost = 0.0233070068061, error = 0.219682493018
Epoch 440 took 42.0074999332, cost = 0.0233744569123, error = 0.217477583419
Epoch 441 took 42.0215601921, cost = 0.0227918755263, error = 0.211891812436
Epoch 442 took 42.0170078278, cost = 0.0227276775986, error = 0.213288255182
Epoch 443 took 41.9972469807, cost = 0.0228644590825, error = 0.214684697927
Epoch 444 took 41.9963710308, cost = 0.0225541759282, error = 0.210642363663
Epoch 445 took 41.9700758457, cost = 0.0226369705051, error = 0.210348375717
Epoch 446 took 41.9243872166, cost = 0.0228590145707, error = 0.212259297369
Epoch 447 took 41.908425808, cost = 0.0227163974196, error = 0.21049536969
Epoch 448 took 41.9187650681, cost = 0.0227800048888, error = 0.21027487873
Epoch 449 took 41.9297230244, cost = 0.0229101087898, error = 0.213214758195
Epoch 450 took 41.9514160156, cost = 0.0233257710934, error = 0.213876231075
Epoch 451 took 41.9622478485, cost = 0.0233625601977, error = 0.214831691901
Epoch 452 took 41.9607942104, cost = 0.0234783124179, error = 0.216007643687
Epoch 453 took 41.9711339474, cost = 0.0236378721893, error = 0.214831691901
Epoch 454 took 42.0006780624, cost = 0.0234503298998, error = 0.212038806409
Epoch 455 took 42.0657191277, cost = 0.0231308192015, error = 0.213949728061
Epoch 456 took 42.0002939701, cost = 0.0229618828744, error = 0.212112303396
Epoch 457 took 42.00644207, cost = 0.023002166301, error = 0.211377333529
Epoch 458 took 42.0215878487, cost = 0.0233321879059, error = 0.215787152727
Epoch 459 took 41.9957089424, cost = 0.0227090325207, error = 0.211230339556
Epoch 460 took 42.0058019161, cost = 0.0229551568627, error = 0.212185800382
Epoch 461 took 42.031345129, cost = 0.0227260552347, error = 0.21027487873
Epoch 462 took 42.0038208961, cost = 0.0229286029935, error = 0.211965309422
Epoch 463 took 42.037238121, cost = 0.0231672581285, error = 0.213582243128
Epoch 464 took 42.0326240063, cost = 0.0231698919088, error = 0.212553285315
Epoch 465 took 42.0059099197, cost = 0.0229809470475, error = 0.214905188887
Epoch 466 took 42.0067050457, cost = 0.0230852011591, error = 0.215787152727
Epoch 467 took 42.0192768574, cost = 0.0230930522084, error = 0.213582243128
Epoch 468 took 41.9987800121, cost = 0.0227856654674, error = 0.211891812436
Epoch 469 took 42.0321719646, cost = 0.0230876822025, error = 0.214243716008
Epoch 470 took 42.0398700237, cost = 0.0232360456139, error = 0.214978685874
Epoch 471 took 41.9409160614, cost = 0.0231849458069, error = 0.213508746141
Epoch 472 took 41.9336431026, cost = 0.0231496654451, error = 0.211891812436
Epoch 473 took 41.9432449341, cost = 0.0230910796672, error = 0.214978685874
Epoch 474 took 41.9441039562, cost = 0.023175066337, error = 0.213435249155
Epoch 475 took 41.9339129925, cost = 0.0232053697109, error = 0.212259297369
Epoch 476 took 41.9277768135, cost = 0.0231263991445, error = 0.213067764222
Epoch 477 took 41.9165091515, cost = 0.0232258476317, error = 0.212553285315
Epoch 478 took 41.934486866, cost = 0.0231818258762, error = 0.212994267235
Epoch 479 took 41.9452490807, cost = 0.0230200625956, error = 0.209686902837
Epoch 480 took 41.9328320026, cost = 0.0230072215199, error = 0.21093635161
Epoch 481 took 41.9365060329, cost = 0.0228696987033, error = 0.21049536969
Epoch 482 took 41.9641680717, cost = 0.0228725969791, error = 0.209098926944
Epoch 483 took 41.9578871727, cost = 0.0231505651027, error = 0.211230339556
Epoch 484 took 42.0061130524, cost = 0.0232205726206, error = 0.211156842569
Epoch 485 took 42.0426750183, cost = 0.0237107891589, error = 0.214317212994
Epoch 486 took 42.05585289, cost = 0.0237964112312, error = 0.21549316478
Epoch 487 took 42.0339169502, cost = 0.0238731112331, error = 0.215125679847
Epoch 488 took 42.022217989, cost = 0.0234704725444, error = 0.212406291342
Epoch 489 took 42.0341169834, cost = 0.0237082839012, error = 0.213508746141
Epoch 490 took 42.0490820408, cost = 0.0235615335405, error = 0.211891812436
Epoch 491 took 42.027217865, cost = 0.0236749183387, error = 0.211083345583
Epoch 492 took 42.0201997757, cost = 0.0243529416621, error = 0.214317212994
Epoch 493 took 42.0600850582, cost = 0.0243422910571, error = 0.216963104513
Epoch 494 took 42.057500124, cost = 0.0241909511387, error = 0.216742613553
Epoch 495 took 41.9388809204, cost = 0.0238447487354, error = 0.217845068352
Epoch 496 took 41.9279789925, cost = 0.0243400726467, error = 0.217992062325
Epoch 497 took 41.9329738617, cost = 0.0240445304662, error = 0.215052182861
Epoch 498 took 41.9456110001, cost = 0.024257292971, error = 0.213361752168
Epoch 499 took 41.9429810047, cost = 0.0237684417516, error = 0.211009848596
